Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
Benin;BEN;democratie imparfaite;CONTINENT AFRICAIN;76;6;10050702;0.25;NA;30;28;50;76.2;79.7;51.5;5.63;6.43;2;4.44;7.33;6;2;55.7;4;7;5.42;35;59.3;NA;769694444;20000000;0.23;9450;2.38;5.26;123;80;42.31;90.61;92.52;NA;0.7
Bhoutan;BTN;regime hybride;CONTINENT ASIATIQUE;103;4.65;741822;0.5;1.73;60;57;30;83.8;72.6;78.6;4.38;5.36;5;3.33;6.67;90.75;4;56.6;6;7;6.32;30;49.5;1.95;769694444;244870690;1.29;343;1;4.42;112;74;9.43;90.61;92.52;25.43;12.13
Bolivie;BOL;regime hybride;CONTINENT AMERICAIN;82;5.84;10496285;0.76;1.64;10;28;50;87;72.8;40.8;3.75;5;3;NA;7;NA;3;50.2;0;10;6.31;13;74.3;1.47;769694444;12000000;1.69;83200;3.38;6.44;92;78;42.31;98.83;99.16;35.5;9.72
Bosnie-Herzegovine;BIH;regime hybride;CONTINENT EUROPEEN;95;NA;3833916;0.5;-0.17;20;32;60;84.3;80.7;60.4;5;2.93;3;3.33;6.92;NA;4;57.3;4;10;6.32;10;86;1.17;769694444;244870690;0.72;10500;2.88;4.42;104;80;42.31;99.69;99.68;65.36;25.82
Botswana;BWA;democratie imparfaite;CONTINENT AFRICAIN;29;7.85;2003910;0.25;0.88;70;58;70;78.3;72.4;70.2;6.88;7.14;2;6.67;9.17;27.56;3;69.6;0;9;NA;25;79.7;2.25;4000000;244870690;NA;10500;NA;4.42;108;80;42.31;97.9;94.2;NA;11.48
Bresil;BRA;democratie imparfaite;CONTINENT AMERICAIN;42;NA;198656019;0.55;0.88;50;37;60;69.1;75.8;59.1;4.38;NA;2;5;9.58;18.75;2;57.9;8;8;6.63;28;69.7;1.41;33000000;331000000;0.68;713480;1.25;6.35;104;80;42.31;99.02;98.22;48.56;54.28
Bulgarie;BGR;democratie imparfaite;CONTINENT EUROPEEN;52;6.72;7305888;0.5;-0.64;30;36;60;93.6;77.8;84.2;4.38;5.71;2;NA;9.17;9.75;2;64.7;7;10;6.46;10;87.1;1.54;7000000;5000000;1.41;47300;1.63;4.42;100;93;62.7;90.61;92.52;51.9;164.11
Burkina Faso;BFA;regime autoritaire;CONTINENT AFRICAIN;122;3.52;16460141;0.5;2.89;30;31;50;80.4;81.4;58.9;3.75;3.21;3;2.22;4;27.75;5;60.6;4;7;6.32;30;72.5;NA;769694444;4000000;0.15;11450;3;NA;85;26;4.56;90.61;92.52;3.73;0.61
Burundi;BDI;regime autoritaire;CONTINENT AFRICAIN;120;NA;9849569;0.2;3.28;20;18;30;72.2;70.9;67.2;5;2.57;5;3.89;3;NA;5;48.1;0;7;5.24;30;78.9;2.39;769694444;5000000;NA;51000;NA;5.82;137;28;3.72;90.61;92.52;1.22;0.3
Cambodge;KHM;regime hybride;CONTINENT ASIATIQUE;97;4.96;14864646;0.5;1.66;30;21;50;91.1;80.7;47.2;5.63;NA;5;3.33;5.67;24.25;6;57.6;2;10;6.32;20;65.2;1.55;769694444;77000000;2.27;191300;NA;4.42;124;80;42.31;90.61;92.52;4.94;2.96
